卫视,#genre#
辽宁卫视,http://panabit.yunjifei.top:3338/tsfile/live/1025_1.m3u8
云南卫视,http://panabit.yunjifei.top:3338/tsfile/live/1005_1.m3u8
广东卫视,http://panabit.yunjifei.top:3338/tsfile/live/1006_1.m3u8
深圳卫视,http://panabit.yunjifei.top:3338/tsfile/live/0125_1.m3u8
浙江卫视,http://panabit.yunjifei.top:3338/tsfile/live/1007_1.m3u8
东方卫视,http://panabit.yunjifei.top:3338/tsfile/live/1008_1.m3u8
新疆卫视,http://panabit.yunjifei.top:3338/tsfile/live/0124_1.m3u8
山西卫视,http://panabit.yunjifei.top:3338/tsfile/live/1011_1.m3u8
宁夏卫视,http://panabit.yunjifei.top:3338/tsfile/live/0142_1.m3u8
中国教育4,http://panabit.yunjifei.top:3338/tsfile/live/1016_1.m3u8
西藏卫视,http://panabit.yunjifei.top:3338/tsfile/live/0111_1.m3u8
陕西卫视,http://panabit.yunjifei.top:3338/tsfile/live/1026_1.m3u8
中国教育,http://panabit.yunjifei.top:3338/tsfile/live/1027_1.m3u8
广西卫视,http://panabit.yunjifei.top:3338/tsfile/live/0121_2.m3u8
湖南卫视,http://panabit.yunjifei.top:3338/tsfile/live/1028_1.m3u8
四川卫视,http://panabit.yunjifei.top:3338/tsfile/live/1029_1.m3u8
贵州卫视,http://panabit.yunjifei.top:3338/tsfile/live/1031_1.m3u8
天津卫视,http://panabit.yunjifei.top:3338/tsfile/live/1032_1.m3u8
吉林卫视,http://panabit.yunjifei.top:3338/tsfile/live/1033_1.m3u8
山东卫视,http://panabit.yunjifei.top:3338/tsfile/live/1034_1.m3u8
山东教育,http://panabit.yunjifei.top:3338/tsfile/live/1079_1.m3u8
黑龙江卫视,http://panabit.yunjifei.top:3338/tsfile/live/1035_1.m3u8
江苏卫视,http://panabit.yunjifei.top:3338/tsfile/live/0007_1.m3u8
安徽卫视,http://panabit.yunjifei.top:3338/tsfile/live/0009_1.m3u8
河南卫视,http://panabit.yunjifei.top:3338/tsfile/live/0139_1.m3u8
重庆卫视,http://panabit.yunjifei.top:3338/tsfile/live/0142_2.m3u8
内蒙古卫视,http://panabit.yunjifei.top:3338/tsfile/live/0109_1.m3u8
江西卫视,http://panabit.yunjifei.top:3338/tsfile/live/0138_1.m3u8
青海卫视,http://panabit.yunjifei.top:3338/tsfile/live/0140_1.m3u8
北京卫视,http://panabit.yunjifei.top:3338/tsfile/live/0122_1.m3u8
湖北卫视,http://panabit.yunjifei.top:3338/tsfile/live/0132_1.m3u8
河北卫视,http://panabit.yunjifei.top:3338/tsfile/live/0117_1.m3u8
兵团卫视,http://panabit.yunjifei.top:3338/tsfile/live/0115_1.m3u8
甘肃卫视,http://panabit.yunjifei.top:3338/tsfile/live/0141_1.m3u8
延边卫视,http://panabit.yunjifei.top:3338/tsfile/live/0121_1.m3u8
环球奇观,http://panabit.yunjifei.top:3338/tsfile/live/1084_1.m3u8
家庭理财,http://panabit.yunjifei.top:3338/tsfile/live/1085_1.m3u8
金色学堂,http://panabit.yunjifei.top:3338/tsfile/live/1086_1.m3u8
新闻综合,http://panabit.yunjifei.top:3338/tsfile/live/1092_1.m3u8
其它,#genre#
中国教育4,http://panabit.yunjifei.top:3338/tsfile/live/1004_1.m3u8
风尚购物,http://panabit.yunjifei.top:3338/tsfile/live/1075_1.m3u8
聚鲨环球精选,http://panabit.yunjifei.top:3338/tsfile/live/1076_1.m3u8
家有购物,http://panabit.yunjifei.top:3338/tsfile/live/1082_1.m3u8
央广购物,http://panabit.yunjifei.top:3338/tsfile/live/1077_1.m3u8
好享购物,http://panabit.yunjifei.top:3338/tsfile/live/1078_1.m3u8
证券服务,http://panabit.yunjifei.top:3338/tsfile/live/1003_1.m3u8
少儿,#genre#
金鹰卡通,http://panabit.yunjifei.top:3338/tsfile/live/0126_1.m3u8
卡酷动漫,http://panabit.yunjifei.top:3338/tsfile/live/1009_1.m3u8
新动漫,http://panabit.yunjifei.top:3338/tsfile/live/1090_1.m3u8
央视,#genre#
CCTV1-综合,http://panabit.yunjifei.top:3338/tsfile/live/0015_2.m3u8
CCTV2-财经,http://panabit.yunjifei.top:3338/tsfile/live/0014_1.m3u8
CCTV3-综艺,http://panabit.yunjifei.top:3338/tsfile/live/0004_1.m3u8
CCTV4-国际,http://panabit.yunjifei.top:3338/tsfile/live/1020_1.m3u8
CCTV5-体育,http://panabit.yunjifei.top:3338/tsfile/live/0005_2.m3u8
CCTV6-电影,http://panabit.yunjifei.top:3338/tsfile/live/0003_1.m3u8
CCTV7-军农,http://panabit.yunjifei.top:3338/tsfile/live/1010_1.m3u8
CCTV8-电视剧,http://panabit.yunjifei.top:3338/tsfile/live/0002_1.m3u8
CCTV9-纪录,http://panabit.yunjifei.top:3338/tsfile/live/0114_1.m3u8
CCTV10-科教,http://panabit.yunjifei.top:3338/tsfile/live/0013_1.m3u8
CCTV11-戏曲,http://panabit.yunjifei.top:3338/tsfile/live/0011_1.m3u8
CCTV12-社会与法,http://panabit.yunjifei.top:3338/tsfile/live/0012_1.m3u8
CCTV13-新闻,http://panabit.yunjifei.top:3338/tsfile/live/0019_1.m3u8
CCTV14-少儿,http://panabit.yunjifei.top:3338/tsfile/live/0019_2.m3u8
CCTV15-音乐,http://panabit.yunjifei.top:3338/tsfile/live/0015_1.m3u8
CCTV17,http://panabit.yunjifei.top:3338/tsfile/live/1012_1.m3u8
CGTN,http://panabit.yunjifei.top:3338/tsfile/live/1080_1.m3u8
发现之旅,http://panabit.yunjifei.top:3338/tsfile/live/1083_1.m3u8

省内,#genre#
辽宁北方,http://panabit.yunjifei.top:3338/tsfile/live/0005_1.m3u8
辽宁公共,http://panabit.yunjifei.top:3338/tsfile/live/0006_1.m3u8
辽宁-教育青少,http://panabit.yunjifei.top:3338/tsfile/live/0008_1.m3u8
辽宁-经济,http://panabit.yunjifei.top:3338/tsfile/live/0137_1.m3u8
辽宁-都市,http://panabit.yunjifei.top:3338/tsfile/live/1021_1.m3u8
辽宁影视,http://panabit.yunjifei.top:3338/tsfile/live/1024_1.m3u8
辽宁-生活,http://panabit.yunjifei.top:3338/tsfile/live/1022_1.m3u8
辽宁体育,http://panabit.yunjifei.top:3338/tsfile/live/1023_1.m3u8
沈阳-新闻综合,http://panabit.yunjifei.top:3338/tsfile/live/1019_1.m3u8
北方导视,http://panabit.yunjifei.top:3338/tsfile/live/1059_1.m3u8
辽宁宜佳购物,http://panabit.yunjifei.top:3338/tsfile/live/1060_1.m3u8



推荐,#genre#
老故事,http://panabit.yunjifei.top:3338/tsfile/live/1087_1.m3u8
农林卫视,http://panabit.yunjifei.top:3338/tsfile/live/1088_1.m3u8
书画,http://panabit.yunjifei.top:3338/tsfile/live/1089_1.m3u8
BRTV纪实科教,http://panabit.yunjifei.top:3338/tsfile/live/1091_1.m3u8
影视生活,http://panabit.yunjifei.top:3338/tsfile/live/1093_1.m3u8
国学,http://panabit.yunjifei.top:3338/tsfile/live/1094_1.m3u8
中视购物,http://panabit.yunjifei.top:3338/tsfile/live/1001_1.m3u8
时尚购物,http://panabit.yunjifei.top:3338/tsfile/live/1002_1.m3u8
财富天下,http://panabit.yunjifei.top:3338/tsfile/live/1013_1.m3u8
环球旅游,http://panabit.yunjifei.top:3338/tsfile/live/1014_1.m3u8
汽摩,http://panabit.yunjifei.top:3338/tsfile/live/1015_1.m3u8
茶,http://panabit.yunjifei.top:3338/tsfile/live/1017_1.m3u8
优购物,http://panabit.yunjifei.top:3338/tsfile/live/1036_1.m3u8
早期教育,http://panabit.yunjifei.top:3338/tsfile/live/1037_1.m3u8
都市剧场,http://panabit.yunjifei.top:3338/tsfile/live/1038_1.m3u8
快乐购物,http://panabit.yunjifei.top:3338/tsfile/live/1041_1.m3u8
乐游,http://panabit.yunjifei.top:3338/tsfile/live/1042_1.m3u8
法制天地,http://panabit.yunjifei.top:3338/tsfile/live/1043_1.m3u8
中华特产,http://panabit.yunjifei.top:3338/tsfile/live/1044_1.m3u8
女性时尚,http://panabit.yunjifei.top:3338/tsfile/live/1045_1.m3u8
生态环境,http://panabit.yunjifei.top:3338/tsfile/live/1046_1.m3u8
收藏天下,http://panabit.yunjifei.top:3338/tsfile/live/1047_1.m3u8
家家购物,http://panabit.yunjifei.top:3338/tsfile/live/1048_1.m3u8
生活时尚,http://panabit.yunjifei.top:3338/tsfile/live/1049_1.m3u8
动漫秀场,http://panabit.yunjifei.top:3338/tsfile/live/1050_1.m3u8
游戏风云,http://panabit.yunjifei.top:3338/tsfile/live/1051_1.m3u8
重温经典,http://panabit.yunjifei.top:3338/tsfile/live/1052_1.m3u8
央视精品,http://panabit.yunjifei.top:3338/tsfile/live/1053_1.m3u8
世界地理,http://panabit.yunjifei.top:3338/tsfile/live/1054_1.m3u8
风云剧场,http://panabit.yunjifei.top:3338/tsfile/live/1055_1.m3u8
第一剧场,http://panabit.yunjifei.top:3338/tsfile/live/1056_1.m3u8
风云足球,http://panabit.yunjifei.top:3338/tsfile/live/1057_1.m3u8
风云音乐,http://panabit.yunjifei.top:3338/tsfile/live/1058_1.m3u8
兵器科技,http://panabit.yunjifei.top:3338/tsfile/live/1061_1.m3u8
