辽宁联通组播,#genre#
辽宁卫视,http://175.150.159.235:9007/rtp/232.0.0.126:1234
辽宁都市,http://175.150.159.235:9007/rtp/232.0.0.154:1234
辽宁影视剧,http://175.150.159.235:9007/rtp/232.0.0.25:1234
辽宁体育,http://175.150.159.235:9007/rtp/232.0.0.164:1234
辽宁生活,http://175.150.159.235:9007/rtp/232.0.0.150:1234
辽宁教育青少,http://175.150.159.235:9007/rtp/232.0.0.241:1234
辽宁北方,http://175.150.159.235:9007/rtp/232.0.0.151:1234
辽宁宜佳购物,http://175.150.159.235:9007/rtp/232.0.0.30:1234
辽宁公共,http://175.150.159.235:9007/rtp/232.0.0.168:1234
辽宁经济,http://175.150.159.235:9007/rtp/232.0.0.156:1234
CCTV-1高清,http://175.150.159.235:9007/rtp/232.0.0.27:1234
CCTV-2高清,http://175.150.159.235:9007/rtp/232.0.0.135:1234
CCTV-3高清,http://175.150.159.235:9007/rtp/232.0.0.170:1234
CCTV-4高清,http://175.150.159.235:9007/rtp/232.0.0.201:1234
CCTV-5高清,http://175.150.159.235:9007/rtp/232.0.0.171:1234
CCTV-5+高清,http://175.150.159.235:9007/rtp/232.0.0.93:1234
CCTV-6高清,http://175.150.159.235:9007/rtp/232.0.0.172:1234
CCTV-7高清,http://175.150.159.235:9007/rtp/232.0.0.136:1234
CCTV-8高清,http://175.150.159.235:9007/rtp/232.0.0.173:1234
CCTV-9高清,http://175.150.159.235:9007/rtp/232.0.0.137:1234
CCTV10高清,http://175.150.159.235:9007/rtp/232.0.0.138:1234
CCTV11高清,http://175.150.159.235:9007/rtp/232.0.0.178:1234
CCTV12高清,http://175.150.159.235:9007/rtp/232.0.0.139:1234
CCTV13高清,http://175.150.159.235:9007/rtp/232.0.0.15:1234
CCTV-14少儿,http://175.150.159.235:9007/rtp/232.0.0.140:1234
CCTV-15音乐,http://175.150.159.235:9007/rtp/232.0.0.179:1234
CCTV-16奥林匹克,http://175.150.159.235:9007/rtp/232.0.0.182:1234
CCTV-17高清,http://175.150.159.235:9007/rtp/232.0.0.230:1234
CGTN-英语新闻,http://175.150.159.235:9007/rtp/232.0.0.188:1234
CGTN-纪录(国际版),http://175.150.159.235:9007/rtp/232.0.0.198:1234
CGTN-俄语国际,http://175.150.159.235:9007/rtp/232.0.0.28:1234
CGTN-西班牙语国际,http://175.150.159.235:9007/rtp/232.0.0.6:1234
CGTN-阿拉伯语国际,http://175.150.159.235:9007/rtp/232.0.0.43:1234
CGTN-法语国际,http://175.150.159.235:9007/rtp/232.0.0.8:1234
移动电视,http://175.150.159.235:9007/rtp/232.0.0.165:1234
家有购物,http://175.150.159.235:9007/rtp/232.0.0.225:1234
央广购物,http://175.150.159.235:9007/rtp/232.0.0.240:1234
聚鲨环球精选,http://175.150.159.235:9007/rtp/232.0.0.207:1234
沈阳新闻综合,http://175.150.159.235:9007/rtp/232.0.0.206:1234
CCTV中视购物,http://175.150.159.235:9007/rtp/232.0.0.202:1234
北京卫视,http://175.150.159.235:9007/rtp/232.0.0.117:1234
天津卫视,http://175.150.159.235:9007/rtp/232.0.0.125:1234
东方卫视,http://175.150.159.235:9007/rtp/232.0.0.122:1234
浙江卫视,http://175.150.159.235:9007/rtp/232.0.0.123:1234
江苏卫视,http://175.150.159.235:9007/rtp/232.0.0.116:1234
安徽卫视,http://175.150.159.235:9007/rtp/232.0.0.141:1234
湖南卫视,http://175.150.159.235:9007/rtp/232.0.0.115:1234
贵州卫视,http://175.150.159.235:9007/rtp/232.0.0.181:1234
山东卫视,http://175.150.159.235:9007/rtp/232.0.0.131:1234
山西卫视,http://175.150.159.235:9007/rtp/232.0.0.86:1234
广东卫视,http://175.150.159.235:9007/rtp/232.0.0.130:1234
广西卫视,http://175.150.159.235:9007/rtp/232.0.0.76:1234
湖北卫视,http://175.150.159.235:9007/rtp/232.0.0.124:1234
江西卫视,http://175.150.159.235:9007/rtp/232.0.0.82:1234
河北卫视,http://175.150.159.235:9007/rtp/232.0.0.49:1234
河南卫视,http://175.150.159.235:9007/rtp/232.0.0.80:1234
四川卫视,http://175.150.159.235:9007/rtp/232.0.0.185:1234
重庆卫视,http://175.150.159.235:9007/rtp/232.0.0.186:1234
东南卫视,http://175.150.159.235:9007/rtp/232.0.0.74:1234
海南卫视,http://175.150.159.235:9007/rtp/232.0.0.26:1234
青海卫视,http://175.150.159.235:9007/rtp/232.0.0.101:1234
云南卫视,http://175.150.159.235:9007/rtp/232.0.0.40:1234
陕西卫视,http://175.150.159.235:9007/rtp/232.0.0.35:1234
内蒙古卫视,http://175.150.159.235:9007/rtp/232.0.0.111:1234
宁夏卫视,http://175.150.159.235:9007/rtp/232.0.0.34:1234
吉林卫视,http://175.150.159.235:9007/rtp/232.0.0.180:1234
新疆卫视,http://175.150.159.235:9007/rtp/232.0.0.18:1234
甘肃卫视,http://175.150.159.235:9007/rtp/232.0.0.50:1234
