熱門收視頻道,#genre#
台視,http://141.11.77.233:2087/index.m3u8?pid=4gtv-4gtv066&sd=720&proxy=false
中視,http://141.11.77.233:2087/index.m3u8?pid=4gtv-4gtv040&sd=720&proxy=false
華視,http://141.11.77.233:2087/index.m3u8?pid=4gtv-4gtv041&sd=720&proxy=false
好消息,http://141.11.77.233:2087/index.m3u8?pid=litv-ftv16&sd=720&proxy=false
哆啦Ａ夢台,http://141.11.77.233:2087/index.m3u8?pid=ofiii22&sd=720&proxy=false
亞洲旅遊台,http://141.11.77.233:2087/index.m3u8?pid=4gtv-4gtv076&sd=720&proxy=false
龍華戲劇台,http://141.11.77.233:2087/index.m3u8?pid=litv-longturn18&sd=720&proxy=false
台灣戲劇台,http://141.11.77.233:2087/index.m3u8?pid=litv-longturn22&sd=720&proxy=false
東森購物1台,http://141.11.77.233:2087/index.m3u8?pid=4gtv-4gtv102&sd=720&proxy=false
龍華偶像台,http://141.11.77.233:2087/index.m3u8?pid=litv-longturn12&sd=720&proxy=false
龍華日韓台,http://141.11.77.233:2087/index.m3u8?pid=litv-longturn11&sd=720&proxy=false
華視新聞,http://141.11.77.233:2087/index.m3u8?pid=4gtv-4gtv052&sd=720&proxy=false
三立新聞iNEWS,http://141.11.77.233:2087/index.m3u8?pid=iNEWS&sd=720&proxy=false
寰宇財經台,http://141.11.77.233:2087/index.m3u8?pid=4gtv-4gtv158&sd=720&proxy=false
台視新聞,http://141.11.77.233:2087/index.m3u8?pid=4gtv-4gtv051&sd=720&proxy=false
中視新聞,http://141.11.77.233:2087/index.m3u8?pid=4gtv-4gtv074&sd=720&proxy=false
中天新聞台,http://141.11.77.233:2087/index.m3u8?pid=4gtv-4gtv009&sd=720&proxy=false
寰宇新聞台灣台,http://141.11.77.233:2087/index.m3u8?pid=4gtv-4gtv156&sd=720&proxy=false
寰宇新聞台,http://141.11.77.233:2087/index.m3u8?pid=litv-longturn14&sd=720&proxy=false
龍華經典台,http://141.11.77.233:2087/index.m3u8?pid=litv-longturn21&sd=720&proxy=false
龍華電影台,http://141.11.77.233:2087/index.m3u8?pid=litv-longturn03&sd=720&proxy=false
去有風的地方,http://141.11.77.233:2087/index.m3u8?pid=ofiii116&sd=720&proxy=false
綜藝玩很大,http://141.11.77.233:2087/index.m3u8?pid=ofiii130&sd=720&proxy=false
全民星攻略,http://141.11.77.233:2087/index.m3u8?pid=ofiii131&sd=720&proxy=false
新聞‧財經,#genre#
Yes娛樂,http://141.11.77.233:2087/index.m3u8?pid=ofiii47&sd=720&proxy=false
掏掏新聞,http://141.11.77.233:2087/index.m3u8?pid=ofiii50&sd=720&proxy=false
柯文哲政治風波,http://141.11.77.233:2087/index.m3u8?pid=ofiii51&sd=720&proxy=false
華視新聞,http://141.11.77.233:2087/index.m3u8?pid=4gtv-4gtv052&sd=720&proxy=false
倪珍播新聞,http://141.11.77.233:2087/index.m3u8?pid=nnews-zh&sd=720&proxy=false
三立新聞iNEWS,http://141.11.77.233:2087/index.m3u8?pid=iNEWS&sd=720&proxy=false
國際大小事,http://141.11.77.233:2087/index.m3u8?pid=ofiii55&sd=720&proxy=false
寰宇財經台,http://141.11.77.233:2087/index.m3u8?pid=4gtv-4gtv158&sd=720&proxy=false
台視新聞,http://141.11.77.233:2087/index.m3u8?pid=4gtv-4gtv051&sd=720&proxy=false
中視新聞,http://141.11.77.233:2087/index.m3u8?pid=4gtv-4gtv074&sd=720&proxy=false
中天新聞台,http://141.11.77.233:2087/index.m3u8?pid=4gtv-4gtv009&sd=720&proxy=false
寰宇新聞台灣台,http://141.11.77.233:2087/index.m3u8?pid=4gtv-4gtv156&sd=720&proxy=false
寰宇新聞台,http://141.11.77.233:2087/index.m3u8?pid=litv-longturn14&sd=720&proxy=false
第1財經,http://141.11.77.233:2087/index.m3u8?pid=ofiii64&sd=720&proxy=false
第1商業台,http://141.11.77.233:2087/index.m3u8?pid=4gtv-4gtv104&sd=720&proxy=false
國會頻道1台,http://141.11.77.233:2087/index.m3u8?pid=4gtv-4gtv084&sd=720&proxy=false
國會頻道2台,http://141.11.77.233:2087/index.m3u8?pid=4gtv-4gtv085&sd=720&proxy=false
倪珍英語新聞,http://141.11.77.233:2087/index.m3u8?pid=nnews-en&sd=720&proxy=false
大新聞大爆卦,http://141.11.77.233:2087/index.m3u8?pid=ofiii201&sd=720&proxy=false
新聞大白話,http://141.11.77.233:2087/index.m3u8?pid=ofiii202&sd=720&proxy=false
文茜的世界周報,http://141.11.77.233:2087/index.m3u8?pid=ofiii203&sd=720&proxy=false
寰宇全視界,http://141.11.77.233:2087/index.m3u8?pid=ofiii204&sd=720&proxy=false
文茜的世界財經周報,http://141.11.77.233:2087/index.m3u8?pid=ofiii205&sd=720&proxy=false
環球大戰線,http://141.11.77.233:2087/index.m3u8?pid=ofiii206&sd=720&proxy=false
少康戰情室,http://141.11.77.233:2087/index.m3u8?pid=ofiii207&sd=720&proxy=false
國民大會,http://141.11.77.233:2087/index.m3u8?pid=ofiii208&sd=720&proxy=false
綜合,#genre#
台視,http://141.11.77.233:2087/index.m3u8?pid=4gtv-4gtv066&sd=720&proxy=false
中視,http://141.11.77.233:2087/index.m3u8?pid=4gtv-4gtv040&sd=720&proxy=false
華視,http://141.11.77.233:2087/index.m3u8?pid=4gtv-4gtv041&sd=720&proxy=false
好消息2台,http://141.11.77.233:2087/index.m3u8?pid=litv-ftv17&sd=720&proxy=false
好消息,http://141.11.77.233:2087/index.m3u8?pid=litv-ftv16&sd=720&proxy=false
ELTV生活英語台,http://141.11.77.233:2087/index.m3u8?pid=litv-longturn20&sd=720&proxy=false
亞洲旅遊台,http://141.11.77.233:2087/index.m3u8?pid=4gtv-4gtv076&sd=720&proxy=false
中天亞洲精采台,http://141.11.77.233:2087/index.m3u8?pid=ofiii36&sd=720&proxy=false
Smart知識台,http://141.11.77.233:2087/index.m3u8?pid=litv-longturn19&sd=720&proxy=false
東森購物1台,http://141.11.77.233:2087/index.m3u8?pid=4gtv-4gtv102&sd=720&proxy=false
東森購物2台,http://141.11.77.233:2087/index.m3u8?pid=4gtv-4gtv103&sd=720&proxy=false
Focus探索新知台,http://141.11.77.233:2087/index.m3u8?pid=ofiii82&sd=720&proxy=false
鄉民大學問,http://141.11.77.233:2087/index.m3u8?pid=ofiii83&sd=720&proxy=false
社會NOW什麼,http://141.11.77.233:2087/index.m3u8?pid=ofiii85&sd=720&proxy=false
倪珍報星座,http://141.11.77.233:2087/index.m3u8?pid=ofiii86&sd=720&proxy=false
《錦繡安寧》預告花絮,http://141.11.77.233:2087/index.m3u8?pid=ofiii88&sd=720&proxy=false
泰可愛旋風,http://141.11.77.233:2087/index.m3u8?pid=ofiii89&sd=720&proxy=false
演唱會直擊,http://141.11.77.233:2087/index.m3u8?pid=ofiii91&sd=720&proxy=false
健康問良醫,http://141.11.77.233:2087/index.m3u8?pid=ofiii92&sd=720&proxy=false
Freeman @台灣,http://141.11.77.233:2087/index.m3u8?pid=ofiii95&sd=720&proxy=false
饕客揪愛吃,http://141.11.77.233:2087/index.m3u8?pid=ofiii96&sd=720&proxy=false
人氣動漫預告,http://141.11.77.233:2087/index.m3u8?pid=ofiii97&sd=720&proxy=false
銀髮聚樂部,http://141.11.77.233:2087/index.m3u8?pid=ofiii99&sd=720&proxy=false
生命的贏家,http://141.11.77.233:2087/index.m3u8?pid=ofiii192&sd=720&proxy=false
電動車時代,http://141.11.77.233:2087/index.m3u8?pid=ofiii215&sd=720&proxy=false
SiCAR愛車酷,http://141.11.77.233:2087/index.m3u8?pid=ofiii216&sd=720&proxy=false
狂人日誌,http://141.11.77.233:2087/index.m3u8?pid=ofiii217&sd=720&proxy=false
脖子解說 Mr. Neck,http://141.11.77.233:2087/index.m3u8?pid=ofiii218&sd=720&proxy=false
紓壓雷雨聲,http://141.11.77.233:2087/index.m3u8?pid=ofiii250&sd=720&proxy=false
療癒下雨聲,http://141.11.77.233:2087/index.m3u8?pid=ofiii251&sd=720&proxy=false
放鬆的爵士午後,http://141.11.77.233:2087/index.m3u8?pid=ofiii252&sd=720&proxy=false
野外燒柴火聲,http://141.11.77.233:2087/index.m3u8?pid=ofiii253&sd=720&proxy=false
夏日陽光海浪聲,http://141.11.77.233:2087/index.m3u8?pid=ofiii254&sd=720&proxy=false
電影,#genre#
哆啦Ａ夢台,http://141.11.77.233:2087/index.m3u8?pid=ofiii22&sd=720&proxy=false
龍華經典台,http://141.11.77.233:2087/index.m3u8?pid=litv-longturn21&sd=720&proxy=false
Golden 強片台,http://141.11.77.233:2087/index.m3u8?pid=ofiii70&sd=720&proxy=false
龍華電影台,http://141.11.77.233:2087/index.m3u8?pid=litv-longturn03&sd=720&proxy=false
周星馳台,http://141.11.77.233:2087/index.m3u8?pid=ofiii73&sd=720&proxy=false
歐飛電影台,http://141.11.77.233:2087/index.m3u8?pid=ofiii74&sd=720&proxy=false
歐飛喜劇電影台,http://141.11.77.233:2087/index.m3u8?pid=ofiii75&sd=720&proxy=false
戲劇,#genre#
公視金獎台,http://141.11.77.233:2087/index.m3u8?pid=ofiii13&sd=720&proxy=false
經典劇場,http://141.11.77.233:2087/index.m3u8?pid=ofiii38&sd=720&proxy=false
龍華戲劇台,http://141.11.77.233:2087/index.m3u8?pid=litv-longturn18&sd=720&proxy=false
台灣戲劇台,http://141.11.77.233:2087/index.m3u8?pid=litv-longturn22&sd=720&proxy=false
龍華偶像台,http://141.11.77.233:2087/index.m3u8?pid=litv-longturn12&sd=720&proxy=false
龍華日韓台,http://141.11.77.233:2087/index.m3u8?pid=litv-longturn11&sd=720&proxy=false
Focus風采戲劇台,http://141.11.77.233:2087/index.m3u8?pid=ofiii1048&sd=720&proxy=false
錦繡安寧,http://141.11.77.233:2087/index.m3u8?pid=ofiii100&sd=720&proxy=false
琅琊榜,http://141.11.77.233:2087/index.m3u8?pid=ofiii101&sd=720&proxy=false
扶搖,http://141.11.77.233:2087/index.m3u8?pid=ofiii102&sd=720&proxy=false
三國,http://141.11.77.233:2087/index.m3u8?pid=ofiii103&sd=720&proxy=false
武媚娘傳奇,http://141.11.77.233:2087/index.m3u8?pid=ofiii104&sd=720&proxy=false
長樂曲,http://141.11.77.233:2087/index.m3u8?pid=ofiii105&sd=720&proxy=false
軍師聯盟,http://141.11.77.233:2087/index.m3u8?pid=ofiii106&sd=720&proxy=false
軍師聯盟2 虎嘯龍吟,http://141.11.77.233:2087/index.m3u8?pid=ofiii107&sd=720&proxy=false
東宮(完整版),http://141.11.77.233:2087/index.m3u8?pid=ofiii108&sd=720&proxy=false
錦衣之下,http://141.11.77.233:2087/index.m3u8?pid=ofiii109&sd=720&proxy=false
楚喬傳,http://141.11.77.233:2087/index.m3u8?pid=ofiii110&sd=720&proxy=false
倚天屠龍記 2019,http://141.11.77.233:2087/index.m3u8?pid=ofiii111&sd=720&proxy=false
披荊斬棘的大小姐,http://141.11.77.233:2087/index.m3u8?pid=ofiii112&sd=720&proxy=false
步步驚心,http://141.11.77.233:2087/index.m3u8?pid=ofiii113&sd=720&proxy=false
漠風吟,http://141.11.77.233:2087/index.m3u8?pid=ofiii114&sd=720&proxy=false
私藏浪漫,http://141.11.77.233:2087/index.m3u8?pid=ofiii115&sd=720&proxy=false
去有風的地方,http://141.11.77.233:2087/index.m3u8?pid=ofiii116&sd=720&proxy=false
以愛為營,http://141.11.77.233:2087/index.m3u8?pid=ofiii117&sd=720&proxy=false
向風而行,http://141.11.77.233:2087/index.m3u8?pid=ofiii118&sd=720&proxy=false
以家人之名,http://141.11.77.233:2087/index.m3u8?pid=ofiii119&sd=720&proxy=false
獵狐,http://141.11.77.233:2087/index.m3u8?pid=ofiii120&sd=720&proxy=false
請叫我總監,http://141.11.77.233:2087/index.m3u8?pid=ofiii122&sd=720&proxy=false
司藤,http://141.11.77.233:2087/index.m3u8?pid=ofiii123&sd=720&proxy=false
他們的奇妙時光,http://141.11.77.233:2087/index.m3u8?pid=ofiii124&sd=720&proxy=false
白雪公主非死不可,http://141.11.77.233:2087/index.m3u8?pid=ofiii146&sd=720&proxy=false
好搭檔,http://141.11.77.233:2087/index.m3u8?pid=ofiii147&sd=720&proxy=false
頭腦共助,http://141.11.77.233:2087/index.m3u8?pid=ofiii148&sd=720&proxy=false
凌晨兩點的灰姑娘,http://141.11.77.233:2087/index.m3u8?pid=ofiii149&sd=720&proxy=false
台灣靈異事件,http://141.11.77.233:2087/index.m3u8?pid=ofiii150&sd=720&proxy=false
包青天 1993版,http://141.11.77.233:2087/index.m3u8?pid=ofiii151&sd=720&proxy=false
我的婆婆怎麼那麼可愛,http://141.11.77.233:2087/index.m3u8?pid=ofiii152&sd=720&proxy=false
村裡來了個暴走女外科,http://141.11.77.233:2087/index.m3u8?pid=ofiii153&sd=720&proxy=false
一把青,http://141.11.77.233:2087/index.m3u8?pid=ofiii154&sd=720&proxy=false
茶金,http://141.11.77.233:2087/index.m3u8?pid=ofiii155&sd=720&proxy=false
苦力,http://141.11.77.233:2087/index.m3u8?pid=ofiii156&sd=720&proxy=false
俗女養成記,http://141.11.77.233:2087/index.m3u8?pid=ofiii157&sd=720&proxy=false
麻醉風暴,http://141.11.77.233:2087/index.m3u8?pid=ofiii158&sd=720&proxy=false
綜藝,#genre#
TVBS食尚玩家,http://141.11.77.233:2087/index.m3u8?pid=ofiii31&sd=720&proxy=false
東森娛樂台,http://141.11.77.233:2087/index.m3u8?pid=ofiii32&sd=720&proxy=false
鄉民大學問,http://141.11.77.233:2087/index.m3u8?pid=ofiii83&sd=720&proxy=false
野球名人房,http://141.11.77.233:2087/index.m3u8?pid=ofiii84&sd=720&proxy=false
社會NOW什麼,http://141.11.77.233:2087/index.m3u8?pid=ofiii85&sd=720&proxy=false
倪珍報星座,http://141.11.77.233:2087/index.m3u8?pid=ofiii86&sd=720&proxy=false
豬哥壹級棒,http://141.11.77.233:2087/index.m3u8?pid=ofiii126&sd=720&proxy=false
小明星大跟班,http://141.11.77.233:2087/index.m3u8?pid=ofiii127&sd=720&proxy=false
WTO姐妹會,http://141.11.77.233:2087/index.m3u8?pid=ofiii129&sd=720&proxy=false
綜藝玩很大,http://141.11.77.233:2087/index.m3u8?pid=ofiii130&sd=720&proxy=false
全民星攻略,http://141.11.77.233:2087/index.m3u8?pid=ofiii131&sd=720&proxy=false
台灣啟示錄,http://141.11.77.233:2087/index.m3u8?pid=ofiii133&sd=720&proxy=false
法眼黑與白,http://141.11.77.233:2087/index.m3u8?pid=ofiii134&sd=720&proxy=false
天才衝衝衝,http://141.11.77.233:2087/index.m3u8?pid=ofiii135&sd=720&proxy=false
女人我最大,http://141.11.77.233:2087/index.m3u8?pid=ofiii137&sd=720&proxy=false
一字千金,http://141.11.77.233:2087/index.m3u8?pid=ofiii142&sd=720&proxy=false
11點熱吵店,http://141.11.77.233:2087/index.m3u8?pid=ofiii143&sd=720&proxy=false
食尚玩家-Hello腹餓代,http://141.11.77.233:2087/index.m3u8?pid=ofiii225&sd=720&proxy=false
食尚玩家-天菜就醬吃,http://141.11.77.233:2087/index.m3u8?pid=ofiii226&sd=720&proxy=false
食尚玩家-2天1夜go,http://141.11.77.233:2087/index.m3u8?pid=ofiii227&sd=720&proxy=false
食尚玩家-熱血48小時,http://141.11.77.233:2087/index.m3u8?pid=ofiii228&sd=720&proxy=false
食尚玩家-魚肉鄉民,http://141.11.77.233:2087/index.m3u8?pid=ofiii229&sd=720&proxy=false
食尚玩家-瘋狂總部,http://141.11.77.233:2087/index.m3u8?pid=ofiii230&sd=720&proxy=false
非凡大探索,http://141.11.77.233:2087/index.m3u8?pid=ofiii234&sd=720&proxy=false
台灣1001個故事,http://141.11.77.233:2087/index.m3u8?pid=ofiii235&sd=720&proxy=false
詹姆士出走料理,http://141.11.77.233:2087/index.m3u8?pid=ofiii236&sd=720&proxy=false
進擊的台灣,http://141.11.77.233:2087/index.m3u8?pid=ofiii237&sd=720&proxy=false
世界第一等,http://141.11.77.233:2087/index.m3u8?pid=ofiii238&sd=720&proxy=false
台灣第一等,http://141.11.77.233:2087/index.m3u8?pid=ofiii239&sd=720&proxy=false
溢遊未盡,http://141.11.77.233:2087/index.m3u8?pid=ofiii240&sd=720&proxy=false
卡通‧兒童,#genre#
ELTV生活英語台,http://141.11.77.233:2087/index.m3u8?pid=litv-longturn20&sd=720&proxy=false
龍華卡通台,http://141.11.77.233:2087/index.m3u8?pid=litv-longturn01&sd=720&proxy=false
哆啦Ａ夢台,http://141.11.77.233:2087/index.m3u8?pid=ofiii22&sd=720&proxy=false
新哆啦A夢(中文版),http://141.11.77.233:2087/index.m3u8?pid=ofiii23&sd=720&proxy=false
動漫,#genre#
新哆啦A夢(中文版),http://141.11.77.233:2087/index.m3u8?pid=ofiii23&sd=720&proxy=false
雖然等級只有1級但固有技能是最強的,http://141.11.77.233:2087/index.m3u8?pid=ofiii159&sd=720&proxy=false
擁有超常技能的異世界流浪美食家,http://141.11.77.233:2087/index.m3u8?pid=ofiii160&sd=720&proxy=false
WIND BREAKER—防風少年—,http://141.11.77.233:2087/index.m3u8?pid=ofiii161&sd=720&proxy=false
在異世界獲得超強能力的我，在現實世界照樣無敵～等級提升改變人生命運～,http://141.11.77.233:2087/index.m3u8?pid=ofiii162&sd=720&proxy=false
第一神拳,http://141.11.77.233:2087/index.m3u8?pid=ofiii163&sd=720&proxy=false
刀劍神域(中文版),http://141.11.77.233:2087/index.m3u8?pid=ofiii164&sd=720&proxy=false
蠟筆小新(中文版),http://141.11.77.233:2087/index.m3u8?pid=ofiii165&sd=720&proxy=false
我們這一家,http://141.11.77.233:2087/index.m3u8?pid=ofiii166&sd=720&proxy=false
獵人(中文版),http://141.11.77.233:2087/index.m3u8?pid=ofiii167&sd=720&proxy=false
中華一番(中文版),http://141.11.77.233:2087/index.m3u8?pid=ofiii168&sd=720&proxy=false
隊長小翼(中文版),http://141.11.77.233:2087/index.m3u8?pid=ofiii169&sd=720&proxy=false
SPY X FAMILY 間諜家家酒,http://141.11.77.233:2087/index.m3u8?pid=ofiii170&sd=720&proxy=false
SPY X FAMILY 間諜家家酒(中文版),http://141.11.77.233:2087/index.m3u8?pid=ofiii171&sd=720&proxy=false
無職轉生，到了異世界就拿出真本事,http://141.11.77.233:2087/index.m3u8?pid=ofiii172&sd=720&proxy=false
關於我轉生變成史萊姆這檔事(國),http://141.11.77.233:2087/index.m3u8?pid=ofiii173&sd=720&proxy=false
夏目友人帳,http://141.11.77.233:2087/index.m3u8?pid=ofiii174&sd=720&proxy=false
家庭教師HITMAN REBORN!(中文版),http://141.11.77.233:2087/index.m3u8?pid=ofiii175&sd=720&proxy=false
烘焙王(中文版),http://141.11.77.233:2087/index.m3u8?pid=ofiii176&sd=720&proxy=false
鋼之鍊金術師,http://141.11.77.233:2087/index.m3u8?pid=ofiii177&sd=720&proxy=false
JOJO 的奇妙冒險,http://141.11.77.233:2087/index.m3u8?pid=ofiii178&sd=720&proxy=false
葬送的芙莉蓮,http://141.11.77.233:2087/index.m3u8?pid=ofiii179&sd=720&proxy=false
史上最強弟子兼一(中文版),http://141.11.77.233:2087/index.m3u8?pid=ofiii180&sd=720&proxy=false
爆漫王(中文版),http://141.11.77.233:2087/index.m3u8?pid=ofiii181&sd=720&proxy=false
忍者亂太郎(中文版),http://141.11.77.233:2087/index.m3u8?pid=ofiii182&sd=720&proxy=false
删除缓存,#genre#
删除缓存,http://141.11.77.233:2087/clear_all_cache
